Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,33.17,33.17,33.17,33.17,000,33.17
2015-01-14,33.02,33.17,33.01,33.17,2100,33.17
2015-01-13,33.30,33.38,33.30,33.38,700,33.38
2015-01-12,33.26,33.29,32.96,33.29,700,33.29
2015-01-09,33.24,33.24,33.24,33.24,000,33.24
2015-01-08,33.20,33.24,33.19,33.24,1400,33.24
2015-01-07,32.57,32.57,32.56,32.57,800,32.57
2015-01-06,32.02,32.02,32.00,32.02,2000,32.02
2015-01-05,32.81,32.81,32.81,32.81,000,32.81
2015-01-02,32.94,32.98,32.81,32.81,1200,32.81
2014-12-31,32.95,32.95,32.95,32.95,000,32.95
2014-12-30,32.86,32.95,32.86,32.95,1200,32.95
2014-12-29,33.18,33.22,33.18,33.20,1700,33.20
