Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,49.14,50.40,48.58,49.41,10396900,49.41
2015-01-14,49.41,50.23,48.10,49.41,15684700,49.41
2015-01-13,50.12,51.43,49.46,50.40,12259300,50.40
2015-01-12,51.06,51.45,49.20,49.58,18261300,49.58
2015-01-09,53.67,53.91,51.82,52.02,12347800,52.02
2015-01-08,53.48,54.28,53.25,53.66,9672100,53.66
2015-01-07,53.38,53.65,52.12,53.01,10069800,53.01
2015-01-06,54.27,54.43,52.13,53.04,13772200,53.04
2015-01-05,54.37,54.54,53.34,53.88,11565000,53.88
2015-01-02,54.28,54.60,53.07,53.91,10748600,53.91
2014-12-31,53.90,54.64,53.32,53.63,11063000,53.63
2014-12-30,53.00,53.70,52.83,53.42,8063100,53.42
2014-12-29,51.65,53.24,51.30,52.85,8788900,52.85
