Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,3.90,4.00,3.80,3.94,8500,3.94
2015-01-14,3.89,4.00,3.89,4.00,200,4.00
2015-01-13,3.91,4.00,3.91,4.00,1300,4.00
2015-01-12,4.00,4.00,4.00,4.00,1000,4.00
2015-01-09,3.95,4.01,3.94,4.00,3700,4.00
2015-01-08,3.92,3.95,3.92,3.95,2200,3.95
2015-01-07,3.90,3.92,3.87,3.92,1500,3.92
2015-01-06,3.95,3.95,3.75,3.92,9700,3.92
2015-01-05,3.90,4.01,3.90,4.01,13700,4.01
2015-01-02,3.99,4.03,3.98,4.03,11400,4.03
2014-12-31,3.95,4.05,3.95,4.03,6200,4.03
2014-12-30,3.88,3.95,3.86,3.93,4800,3.93
2014-12-29,3.86,3.90,3.78,3.90,3100,3.90
