Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,8.86,8.86,8.36,8.38,313700,8.38
2015-01-14,9.01,9.12,8.51,8.80,557900,8.80
2015-01-13,9.84,10.21,9.07,9.25,472200,9.25
2015-01-12,10.06,10.06,9.57,9.70,159900,9.70
2015-01-09,10.00,10.16,9.87,10.11,114700,10.11
2015-01-08,9.99,10.23,9.84,9.96,214200,9.96
2015-01-07,10.35,10.39,9.70,9.85,351500,9.85
2015-01-06,10.65,10.69,10.15,10.25,183500,10.25
2015-01-05,10.75,10.85,10.40,10.65,204700,10.65
2015-01-02,11.28,11.28,10.72,10.79,184600,10.79
2014-12-31,11.05,11.48,10.84,11.22,248400,11.22
2014-12-30,10.94,11.16,10.93,11.02,4300,11.02
2014-12-29,10.71,11.10,10.53,10.94,234300,10.94
