Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,21.81,21.81,21.00,21.30,90900,21.30
2015-01-14,21.46,21.97,21.46,21.81,97000,21.81
2015-01-13,21.45,21.99,21.37,21.79,142700,21.79
2015-01-12,21.34,21.44,20.99,21.37,144100,21.37
2015-01-09,21.50,21.50,21.19,21.41,110600,21.41
2015-01-08,21.14,21.57,20.96,21.56,164300,21.56
2015-01-07,21.05,21.14,20.69,21.04,132600,21.04
2015-01-06,21.21,21.24,20.49,20.85,125900,20.85
2015-01-05,21.80,21.93,21.11,21.19,145800,21.19
2015-01-02,22.55,22.68,21.60,21.93,90700,21.93
2014-12-31,22.45,22.75,22.35,22.39,101700,22.39
2014-12-30,22.26,22.49,22.10,22.34,90900,22.34
2014-12-29,22.34,22.50,22.21,22.30,73000,22.30
