Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,110.00,110.06,106.66,106.82,59806900,106.82
2015-01-14,109.04,110.49,108.50,109.80,48956600,109.80
2015-01-13,111.43,112.80,108.91,110.22,67091900,110.22
2015-01-12,112.60,112.63,108.80,109.25,49650800,109.25
2015-01-09,112.67,113.25,110.21,112.01,53699500,112.01
2015-01-08,109.23,112.15,108.70,111.89,59364500,111.89
2015-01-07,107.20,108.20,106.70,107.75,40105900,107.75
2015-01-06,106.54,107.43,104.63,106.26,65797100,106.26
2015-01-05,108.29,108.65,105.41,106.25,64285500,106.25
2015-01-02,111.39,111.44,107.35,109.33,53204600,109.33
2014-12-31,112.82,113.13,110.21,110.38,41403400,110.38
2014-12-30,113.64,113.92,112.11,112.52,29881500,112.52
2014-12-29,113.79,114.77,113.70,113.91,27598900,113.91
