Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,57.09,60.44,51.08,51.56,350200,51.56
2015-01-14,57.90,58.99,56.76,56.95,145600,56.95
2015-01-13,59.23,60.70,57.37,58.88,229400,58.88
2015-01-12,58.70,59.49,57.02,58.85,296700,58.85
2015-01-09,59.25,60.35,57.00,58.66,459400,58.66
2015-01-08,61.82,62.48,58.97,59.17,1909800,59.17
2015-01-07,55.00,60.70,55.00,60.08,295500,60.08
2015-01-06,58.49,59.87,53.76,53.95,392100,53.95
2015-01-05,59.49,60.98,58.11,58.94,174800,58.94
2015-01-02,54.60,59.13,54.03,58.92,182000,58.92
2014-12-31,56.29,57.37,53.85,54.00,222000,54.00
2014-12-30,51.61,55.99,51.61,55.90,11300,55.90
2014-12-29,48.86,52.63,48.81,51.92,119300,51.92
