Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,46.08,46.43,45.04,45.48,169000,45.48
2015-01-14,45.87,46.66,45.20,45.89,225300,45.89
2015-01-13,47.19,48.17,45.82,46.67,185400,46.67
2015-01-12,47.73,48.16,46.23,46.66,174300,46.66
2015-01-09,48.34,48.63,47.36,47.57,177800,47.57
2015-01-08,46.82,48.43,46.49,48.21,389200,48.21
2015-01-07,46.07,46.50,45.43,46.48,267300,46.48
2015-01-06,47.15,47.55,45.55,45.66,373900,45.66
2015-01-05,48.09,48.09,46.57,46.65,179600,46.65
2015-01-02,49.71,49.82,47.73,48.42,225900,48.42
2014-12-31,49.15,50.12,48.95,49.30,168700,49.30
2014-12-30,49.23,49.50,49.08,49.19,3400,49.19
2014-12-29,49.17,49.40,48.87,49.16,120300,49.16
