Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,62.26,62.44,61.94,61.96,2208900,61.96
2015-01-14,61.36,61.49,60.96,61.43,1837000,61.43
2015-01-13,61.96,62.24,61.35,61.74,774400,61.74
2015-01-12,61.40,61.58,61.11,61.18,684400,61.18
2015-01-09,61.49,61.61,61.17,61.36,2575700,61.36
2015-01-08,60.96,61.53,60.92,61.40,2053000,61.40
2015-01-07,60.00,60.37,59.96,60.36,837800,60.36
2015-01-06,59.60,59.84,59.04,59.32,725900,59.32
2015-01-05,60.61,60.61,59.88,59.94,614000,59.94
2015-01-02,61.17,61.17,60.49,60.63,509500,60.63
2014-12-31,61.17,61.27,60.89,60.93,595800,60.93
2014-12-30,60.70,60.79,60.57,60.67,1019600,60.67
2014-12-29,61.03,61.15,60.91,60.95,366500,60.95
