Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,1.45,1.45,1.45,1.45,400,1.45
2015-01-14,1.46,1.52,1.40,1.44,17200,1.44
2015-01-13,1.35,1.54,1.35,1.37,9400,1.37
2015-01-12,1.51,1.54,1.36,1.37,34200,1.37
2015-01-09,1.63,1.63,1.52,1.54,5400,1.54
2015-01-08,1.66,1.70,1.66,1.68,6400,1.68
2015-01-07,1.72,1.74,1.72,1.74,500,1.74
2015-01-06,1.78,1.78,1.70,1.70,5600,1.70
2015-01-05,1.80,1.80,1.74,1.79,11000,1.79
2015-01-02,1.72,1.82,1.72,1.81,11000,1.81
2014-12-31,1.88,1.91,1.71,1.73,17200,1.73
2014-12-30,1.70,1.70,1.70,1.70,400,1.70
2014-12-29,1.68,1.70,1.64,1.70,16200,1.70
