Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,57.99,58.30,56.23,56.65,148300,56.65
2015-01-14,56.37,58.65,56.37,57.76,208400,57.76
2015-01-13,57.67,58.69,56.10,57.16,202500,57.16
2015-01-12,57.38,58.21,57.16,57.20,270900,57.20
2015-01-09,58.42,58.71,56.78,57.12,220200,57.12
2015-01-08,57.69,59.18,57.15,58.46,216300,58.46
2015-01-07,57.29,57.78,56.35,57.10,219400,57.10
2015-01-06,57.62,58.07,56.41,57.11,220200,57.11
2015-01-05,57.52,58.26,57.17,57.56,211400,57.56
2015-01-02,57.31,58.25,56.65,57.71,197400,57.71
2014-12-31,58.10,59.05,56.72,56.83,130700,56.83
2014-12-30,57.84,58.46,57.15,57.93,144800,57.93
2014-12-29,58.66,59.09,57.21,57.88,107100,57.88
