Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,23.61,23.61,22.97,23.00,100300,23.00
2015-01-14,23.54,24.80,23.50,23.63,54400,23.63
2015-01-13,23.86,24.44,23.50,23.81,42600,23.81
2015-01-12,23.98,24.02,23.55,23.77,72600,23.77
2015-01-09,24.65,24.65,23.94,23.97,62800,23.97
2015-01-08,24.60,24.85,24.54,24.70,56600,24.70
2015-01-07,24.93,25.06,24.44,24.49,60400,24.49
2015-01-06,25.26,25.26,24.41,24.73,103300,24.73
2015-01-05,25.22,25.63,24.96,25.25,119800,25.25
2015-01-02,25.83,25.86,24.92,25.27,73300,25.27
2014-12-31,26.00,26.09,25.60,25.64,79900,25.64
2014-12-30,25.96,26.04,25.78,25.99,39900,25.99
2014-12-29,26.01,26.27,25.93,26.00,82800,26.00
