Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,1.80,1.83,1.79,1.80,18200,1.80
2015-01-14,1.77,1.84,1.77,1.83,14300,1.83
2015-01-13,1.79,1.80,1.75,1.75,10200,1.75
2015-01-12,1.78,1.79,1.73,1.77,1500,1.77
2015-01-09,1.74,1.75,1.74,1.75,10000,1.75
2015-01-08,1.75,1.79,1.74,1.79,24000,1.79
2015-01-07,1.81,1.84,1.72,1.75,12400,1.75
2015-01-06,1.73,1.75,1.67,1.73,24500,1.73
2015-01-05,1.65,1.85,1.65,1.77,16900,1.77
2015-01-02,1.78,1.78,1.76,1.76,400,1.76
2014-12-31,1.66,1.84,1.65,1.66,33600,1.66
2014-12-30,1.70,1.70,1.70,1.70,000,1.70
2014-12-29,1.64,1.66,1.64,1.66,1200,1.66
