Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,47.96,48.19,47.02,47.75,212800,47.75
2015-01-14,48.09,48.29,46.99,48.04,166500,48.04
2015-01-13,48.41,49.63,47.20,48.38,265200,48.38
2015-01-12,49.82,49.99,47.81,47.91,257800,47.91
2015-01-09,48.62,50.61,48.44,49.92,218300,49.92
2015-01-08,48.89,48.92,48.22,48.71,340700,48.71
2015-01-07,48.72,49.03,47.40,48.47,274400,48.47
2015-01-06,48.81,49.18,48.01,48.54,305000,48.54
2015-01-05,48.10,49.82,47.82,48.78,305600,48.78
2015-01-02,49.31,49.66,47.52,48.48,242100,48.48
2014-12-31,49.99,50.26,48.66,48.98,303600,48.98
2014-12-30,49.67,50.13,49.64,50.00,10900,50.00
2014-12-29,49.24,50.56,48.64,49.75,381100,49.75
