Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,34.90,34.90,34.10,34.57,16800,34.57
2015-01-14,34.80,34.93,34.63,34.90,9200,34.90
2015-01-13,35.16,35.16,34.32,34.93,18100,34.93
2015-01-12,34.65,34.93,34.61,34.93,3600,34.93
2015-01-09,34.83,34.83,34.71,34.83,2600,34.83
2015-01-08,34.93,34.93,34.50,34.89,6800,34.89
2015-01-07,34.93,34.93,34.65,34.87,5600,34.87
2015-01-06,34.80,34.96,34.47,34.53,30200,34.53
2015-01-05,34.78,35.00,34.75,34.87,27400,34.87
2015-01-02,34.27,35.00,34.20,34.96,22600,34.96
2014-12-31,35.00,35.00,33.20,34.44,21000,34.44
2014-12-30,34.88,35.00,34.02,35.00,600,35.00
2014-12-29,35.00,35.00,34.52,35.00,6100,35.00
