Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,12.75,12.94,12.71,12.93,22900,12.93
2015-01-14,12.98,13.04,12.75,12.92,42200,12.92
2015-01-13,13.01,13.07,12.93,12.96,56000,12.96
2015-01-12,13.10,13.10,12.97,13.03,17200,13.03
2015-01-09,13.02,13.14,12.83,13.06,24900,13.06
2015-01-08,13.05,13.21,12.76,13.09,37700,13.09
2015-01-07,13.00,13.11,12.92,13.09,41100,13.09
2015-01-06,12.89,12.99,12.80,12.97,51200,12.97
2015-01-05,12.36,12.89,12.36,12.83,36400,12.83
2015-01-02,12.54,12.82,12.40,12.40,49900,12.40
2014-12-31,12.94,12.99,12.40,12.50,141300,12.50
2014-12-30,12.72,12.98,12.65,12.83,90600,12.83
2014-12-29,12.66,12.83,12.20,12.78,73800,12.78
