Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,16.36,16.49,15.94,15.97,77300,15.97
2015-01-14,16.38,16.49,16.05,16.39,82500,16.39
2015-01-13,16.16,16.33,15.95,16.31,206900,16.31
2015-01-12,15.53,15.71,14.79,15.51,141000,15.51
2015-01-09,13.20,13.34,13.09,13.11,50300,13.11
2015-01-08,12.87,12.94,12.54,12.61,45100,12.61
2015-01-07,12.92,13.23,12.83,13.16,38700,13.16
2015-01-06,12.73,13.02,12.22,12.30,127600,12.30
2015-01-05,11.36,11.37,11.10,11.20,18200,11.20
2015-01-02,11.55,11.75,11.55,11.73,48800,11.73
2014-12-31,11.00,11.18,10.86,10.88,94600,10.88
2014-12-30,11.47,11.66,11.45,11.66,3800,11.66
2014-12-29,11.64,12.07,11.58,11.94,40000,11.94
