Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,0.80,0.80,0.74,0.77,313400,0.77
2015-01-14,0.83,0.84,0.78,0.80,293400,0.80
2015-01-13,0.83,0.87,0.81,0.87,174100,0.87
2015-01-12,0.87,0.88,0.84,0.87,105500,0.87
2015-01-09,0.89,0.89,0.83,0.88,71300,0.88
2015-01-08,0.83,0.89,0.81,0.89,146100,0.89
2015-01-07,0.90,0.95,0.83,0.85,361900,0.85
2015-01-06,1.00,1.00,0.86,0.94,413400,0.94
2015-01-05,1.06,1.06,0.95,0.98,336900,0.98
2015-01-02,0.98,1.05,0.97,1.04,313700,1.04
2014-12-31,0.91,0.97,0.91,0.95,351700,0.95
2014-12-30,0.94,0.94,0.91,0.92,2300,0.92
2014-12-29,0.93,0.94,0.90,0.94,212500,0.94
