Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,38.50,38.50,36.89,37.11,300100,37.11
2015-01-14,38.37,38.70,37.94,38.25,234500,38.25
2015-01-13,39.26,40.44,37.85,38.81,338800,38.81
2015-01-12,38.51,38.97,38.02,38.56,243000,38.56
2015-01-09,38.97,39.21,38.13,38.41,201900,38.41
2015-01-08,37.69,39.05,37.50,38.96,457600,38.96
2015-01-07,36.42,37.37,35.75,37.28,344600,37.28
2015-01-06,37.09,37.60,35.96,36.13,415000,36.13
2015-01-05,37.17,38.14,36.89,37.07,375800,37.07
2015-01-02,38.27,38.51,36.86,37.31,249000,37.31
2014-12-31,38.51,39.00,38.00,38.06,204100,38.06
2014-12-30,38.52,38.64,37.86,38.38,10700,38.38
2014-12-29,38.54,39.01,38.02,38.48,227300,38.48
