Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,10.74,10.88,9.77,10.20,157600,10.20
2015-01-14,10.75,10.90,10.51,10.77,49200,10.77
2015-01-13,11.46,11.48,10.75,10.80,71900,10.80
2015-01-12,11.19,11.60,10.82,11.20,56200,11.20
2015-01-09,11.68,11.68,11.13,11.13,37100,11.13
2015-01-08,11.01,11.74,10.90,11.61,47200,11.61
2015-01-07,11.08,11.08,10.70,10.90,53200,10.90
2015-01-06,11.34,11.55,10.78,10.91,74600,10.91
2015-01-05,11.00,11.39,10.93,11.16,112900,11.16
2015-01-02,10.94,11.15,10.60,11.00,39200,11.00
2014-12-31,11.11,11.11,10.76,10.90,78400,10.90
2014-12-30,11.00,11.15,10.85,11.15,2000,11.15
2014-12-29,11.25,11.25,10.55,11.00,63400,11.00
