Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,31.62,31.88,30.26,31.50,733200,31.50
2015-01-14,30.89,32.03,30.39,31.75,560400,31.75
2015-01-13,28.48,31.36,27.58,31.30,744700,31.30
2015-01-12,29.01,29.01,27.59,28.35,430400,28.35
2015-01-09,27.25,29.33,27.08,29.16,470800,29.16
2015-01-08,28.16,28.26,26.93,27.08,272700,27.08
2015-01-07,27.49,28.74,27.28,27.89,525200,27.89
2015-01-06,26.89,28.87,26.89,27.23,1166800,27.23
2015-01-05,27.57,27.85,25.93,26.57,913900,26.57
2015-01-02,27.51,28.12,27.05,27.85,509300,27.85
2014-12-31,27.13,28.08,27.06,27.32,261500,27.32
2014-12-30,26.36,27.49,26.36,27.15,295500,27.15
2014-12-29,25.49,27.14,25.48,26.40,2273600,26.40
