Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,33.89,34.14,32.16,32.17,1744300,32.17
2015-01-14,33.95,34.36,33.58,33.76,1354100,33.76
2015-01-13,34.76,35.01,33.95,34.46,2350000,34.46
2015-01-12,33.55,34.64,33.55,34.25,1696600,34.25
2015-01-09,32.50,33.73,31.86,33.37,1601700,33.37
2015-01-08,32.41,32.62,32.01,32.50,1051700,32.50
2015-01-07,31.34,32.16,31.20,32.16,1563100,32.16
2015-01-06,31.32,31.49,30.84,30.98,1527200,30.98
2015-01-05,31.02,31.59,30.58,31.10,1016800,31.10
2015-01-02,32.17,32.75,31.10,31.15,1261200,31.15
2014-12-31,31.78,32.70,31.69,31.75,848800,31.75
2014-12-30,32.05,32.23,31.58,31.70,29900,31.70
2014-12-29,31.70,32.18,31.61,31.96,624000,31.96
