Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,14.19,14.30,14.06,14.06,2218600,14.06
2015-01-14,14.39,14.44,14.17,14.22,2650300,14.22
2015-01-13,14.68,14.80,14.31,14.50,2355700,14.50
2015-01-12,14.93,14.93,14.60,14.64,2174700,14.64
2015-01-09,14.99,14.99,14.70,14.96,3038800,14.96
2015-01-08,14.72,15.01,14.69,14.95,1939900,14.95
2015-01-07,14.44,14.69,14.44,14.68,1316200,14.68
2015-01-06,14.61,14.70,14.22,14.33,2823600,14.33
2015-01-05,14.58,14.75,14.46,14.67,2233100,14.67
2015-01-02,14.72,14.78,14.49,14.64,1125800,14.64
2014-12-31,14.84,14.88,14.57,14.61,1803900,14.61
2014-12-30,14.68,14.82,14.63,14.77,150200,14.77
2014-12-29,14.62,14.89,14.62,14.77,1030800,14.77
