Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,36.44,36.44,34.61,35.06,109200,35.06
2015-01-14,35.97,36.87,35.53,36.45,122100,36.45
2015-01-13,37.80,38.21,36.14,36.51,152800,36.51
2015-01-12,37.06,37.99,36.92,37.68,213600,37.68
2015-01-09,37.25,37.67,36.68,37.09,165900,37.09
2015-01-08,35.94,37.36,35.58,37.33,333200,37.33
2015-01-07,34.40,35.68,33.83,35.60,140600,35.60
2015-01-06,34.28,34.76,33.41,34.00,211900,34.00
2015-01-05,34.44,34.91,33.43,34.26,136000,34.26
2015-01-02,35.62,35.71,33.82,34.51,100800,34.51
2014-12-31,35.09,35.75,34.77,35.50,125300,35.50
2014-12-30,34.28,35.26,34.07,35.05,134800,35.05
2014-12-29,33.57,34.75,33.49,34.49,106100,34.49
