Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,21.23,21.23,20.10,20.18,77100,20.18
2015-01-14,21.03,21.28,20.67,21.11,121300,21.11
2015-01-13,20.76,21.36,20.49,21.34,174200,21.34
2015-01-12,20.33,20.89,19.75,20.47,230000,20.47
2015-01-09,21.25,21.39,20.38,20.40,154400,20.40
2015-01-08,21.15,21.22,20.69,21.22,209300,21.22
2015-01-07,21.06,21.15,20.37,20.93,130100,20.93
2015-01-06,20.97,21.20,20.54,20.86,145100,20.86
2015-01-05,21.50,21.50,20.96,21.03,150500,21.03
2015-01-02,21.89,21.96,21.22,21.62,159000,21.62
2014-12-31,22.24,22.42,21.63,21.70,105900,21.70
2014-12-30,22.18,22.38,21.92,22.10,91400,22.10
2014-12-29,22.21,22.39,21.86,22.32,82400,22.32
