Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,3.73,4.05,3.73,4.00,17600,4.00
2015-01-14,3.77,3.77,3.73,3.75,4200,3.75
2015-01-13,3.95,3.95,3.85,3.85,1300,3.85
2015-01-12,4.00,4.00,3.90,3.90,1400,3.90
2015-01-09,3.95,4.00,3.95,3.95,4200,3.95
2015-01-08,4.07,4.09,3.88,3.88,63500,3.88
2015-01-07,3.99,3.99,3.99,3.99,300,3.99
2015-01-06,3.92,4.06,3.88,3.90,5300,3.90
2015-01-05,3.98,4.00,3.85,3.98,8200,3.98
2015-01-02,3.99,4.17,3.97,3.98,30500,3.98
2014-12-31,3.96,3.98,3.90,3.97,18500,3.97
2014-12-30,3.90,3.90,3.90,3.90,500,3.90
2014-12-29,4.12,4.12,3.94,3.97,12100,3.97
