Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,0.61,0.67,0.61,0.63,108900,0.63
2015-01-14,0.65,0.65,0.59,0.63,151700,0.63
2015-01-13,0.61,0.66,0.61,0.66,145800,0.66
2015-01-12,0.69,0.70,0.59,0.60,301600,0.60
2015-01-09,0.77,0.77,0.69,0.69,106300,0.69
2015-01-08,0.76,0.78,0.74,0.75,92500,0.75
2015-01-07,0.78,0.78,0.74,0.76,93400,0.76
2015-01-06,0.78,0.78,0.74,0.76,41500,0.76
2015-01-05,0.75,0.79,0.72,0.78,60100,0.78
2015-01-02,0.76,0.77,0.72,0.77,113500,0.77
2014-12-31,0.67,0.77,0.66,0.77,710100,0.77
2014-12-30,0.75,0.75,0.69,0.69,6600,0.69
2014-12-29,0.83,0.87,0.72,0.72,525900,0.72
