Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,58.84,59.50,58.59,59.12,405200,59.12
2015-01-14,59.90,59.90,58.72,58.90,619400,58.90
2015-01-13,59.18,60.04,58.98,59.16,641300,59.16
2015-01-12,59.06,59.23,58.79,58.93,307200,58.93
2015-01-09,59.63,59.92,59.11,59.11,380000,59.11
2015-01-08,59.08,59.82,58.93,59.63,384900,59.63
2015-01-07,58.57,58.86,58.07,58.61,424800,58.61
2015-01-06,58.26,58.67,58.03,58.27,469100,58.27
2015-01-05,58.18,58.50,58.00,58.14,365300,58.14
2015-01-02,59.20,59.58,58.28,58.49,367200,58.49
2014-12-31,59.62,59.81,59.05,59.10,274500,59.10
2014-12-30,59.36,59.78,59.11,59.57,12500,59.57
2014-12-29,59.11,60.10,59.11,59.46,202000,59.46
