Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,60.32,60.59,58.69,59.07,258600,59.07
2015-01-14,61.38,61.57,59.79,60.42,273400,60.42
2015-01-13,61.52,62.99,60.36,61.73,360900,61.73
2015-01-12,61.87,62.20,60.51,60.91,280300,60.91
2015-01-09,61.86,62.61,61.35,61.77,207900,61.77
2015-01-08,61.23,62.28,60.75,61.76,233000,61.76
2015-01-07,58.33,60.66,58.33,60.63,283000,60.63
2015-01-06,59.41,59.79,57.28,58.19,322600,58.19
2015-01-05,59.39,59.43,57.49,59.12,383000,59.12
2015-01-02,61.75,62.20,58.73,59.98,486200,59.98
2014-12-31,62.58,62.80,61.06,61.21,331500,61.21
2014-12-30,61.95,62.76,61.95,62.25,8100,62.25
2014-12-29,63.01,64.49,62.21,62.74,272300,62.74
