Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,14.31,14.60,13.66,13.72,3981700,13.72
2015-01-14,13.77,14.76,13.70,14.27,3706900,14.27
2015-01-13,14.67,15.07,13.88,14.34,5320000,14.34
2015-01-12,14.60,14.78,14.00,14.64,5201800,14.64
2015-01-09,13.55,14.81,13.23,14.56,7641800,14.56
2015-01-08,13.53,13.88,13.22,13.56,3700100,13.56
2015-01-07,13.11,13.52,12.90,13.40,3525200,13.40
2015-01-06,13.40,13.61,12.38,12.82,4721200,12.82
2015-01-05,13.02,13.78,12.95,13.32,4698000,13.32
2015-01-02,12.33,13.59,12.33,13.33,6648600,13.33
2014-12-31,12.27,12.75,12.23,12.25,3745600,12.25
2014-12-30,12.56,12.70,12.20,12.29,209500,12.29
2014-12-29,12.87,13.15,12.46,12.66,5035100,12.66
