Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,18.46,18.63,17.79,17.84,464600,17.84
2015-01-14,18.18,18.75,18.02,18.47,861300,18.47
2015-01-13,18.58,19.07,18.08,18.35,725800,18.35
2015-01-12,18.68,18.76,18.41,18.44,600600,18.44
2015-01-09,19.01,19.21,18.66,18.68,530200,18.68
2015-01-08,19.21,19.39,18.95,19.01,854200,19.01
2015-01-07,19.07,19.18,18.91,19.03,404500,19.03
2015-01-06,19.26,19.38,18.83,18.95,653400,18.95
2015-01-05,19.61,19.80,19.14,19.26,561800,19.26
2015-01-02,20.29,20.46,19.44,19.71,895900,19.71
2014-12-31,20.64,20.86,20.07,20.17,631000,20.17
2014-12-30,20.59,20.64,20.43,20.58,49000,20.58
2014-12-29,20.76,21.00,20.57,20.58,413600,20.58
