Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,2.42,2.45,2.39,2.40,304800,2.40
2015-01-14,2.37,2.43,2.33,2.40,93500,2.40
2015-01-13,2.49,2.51,2.39,2.40,209100,2.40
2015-01-12,2.50,2.53,2.42,2.45,149000,2.45
2015-01-09,2.49,2.55,2.48,2.52,261600,2.52
2015-01-08,2.44,2.49,2.40,2.48,197500,2.48
2015-01-07,2.42,2.44,2.40,2.43,197600,2.43
2015-01-06,2.50,2.54,2.35,2.40,292600,2.40
2015-01-05,2.52,2.60,2.44,2.50,355800,2.50
2015-01-02,2.56,2.60,2.50,2.55,755900,2.55
2014-12-31,2.53,2.60,2.46,2.56,600900,2.56
2014-12-30,2.48,2.53,2.43,2.53,16600,2.53
2014-12-29,2.49,2.49,2.48,2.49,176200,2.49
