Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,20.57,20.80,20.57,20.77,300,20.77
2015-01-14,20.30,20.30,20.30,20.30,000,20.30
2015-01-13,20.27,20.81,20.24,20.30,2900,20.30
2015-01-12,20.55,20.61,20.51,20.53,3200,20.53
2015-01-09,20.51,21.12,20.51,20.95,2600,20.95
2015-01-08,21.08,21.09,20.75,20.94,3400,20.94
2015-01-07,20.65,20.67,20.65,20.67,500,20.67
2015-01-06,21.12,21.12,20.80,20.80,2500,20.80
2015-01-05,20.99,21.03,20.91,20.91,1300,20.91
2015-01-02,20.90,21.90,20.90,21.35,2300,21.35
2014-12-31,22.90,22.90,21.71,21.75,1600,21.75
2014-12-30,20.86,21.90,20.86,21.83,3000,21.83
2014-12-29,21.00,21.00,20.55,20.89,5100,20.89
