Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,43.04,43.81,41.13,41.28,647500,41.28
2015-01-14,43.81,44.89,42.83,42.93,925700,42.93
2015-01-13,43.95,45.45,43.69,44.23,825100,44.23
2015-01-12,42.50,43.89,42.16,43.44,770800,43.44
2015-01-09,42.00,42.33,41.27,42.08,711900,42.08
2015-01-08,43.02,44.02,40.90,41.94,1353400,41.94
2015-01-07,40.43,41.99,40.07,41.82,547200,41.82
2015-01-06,40.51,41.20,39.55,40.12,499000,40.12
2015-01-05,40.34,40.64,39.39,40.36,772400,40.36
2015-01-02,41.27,41.68,40.04,40.51,383400,40.51
2014-12-31,40.67,41.65,40.50,40.87,305600,40.87
2014-12-30,40.99,41.18,40.60,40.65,39000,40.65
2014-12-29,39.74,41.12,39.60,41.07,383600,41.07
