Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,1.75,1.77,1.73,1.74,64000,1.74
2015-01-14,1.79,1.79,1.75,1.76,21900,1.76
2015-01-13,1.80,1.82,1.77,1.81,41700,1.81
2015-01-12,1.83,1.90,1.76,1.80,38500,1.80
2015-01-09,1.78,1.83,1.76,1.79,34100,1.79
2015-01-08,1.83,1.84,1.78,1.81,24700,1.81
2015-01-07,1.78,1.84,1.78,1.80,26600,1.80
2015-01-06,1.88,1.88,1.77,1.78,40000,1.78
2015-01-05,1.90,1.91,1.84,1.85,34900,1.85
2015-01-02,1.82,1.89,1.82,1.88,12100,1.88
2014-12-31,1.90,1.90,1.82,1.84,113200,1.84
2014-12-30,1.88,1.91,1.87,1.89,1600,1.89
2014-12-29,1.91,1.91,1.85,1.85,81900,1.85
