Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,7.26,7.30,6.72,6.78,352000,6.78
2015-01-14,7.08,7.27,6.85,7.22,257900,7.22
2015-01-13,7.50,7.67,7.04,7.17,393700,7.17
2015-01-12,7.42,7.50,7.30,7.44,319100,7.44
2015-01-09,7.21,7.35,7.04,7.32,311100,7.32
2015-01-08,6.95,7.32,6.94,7.19,470800,7.19
2015-01-07,6.74,6.95,6.66,6.90,567000,6.90
2015-01-06,6.78,6.89,6.64,6.71,730000,6.71
2015-01-05,6.81,6.86,6.61,6.75,339500,6.75
2015-01-02,6.77,6.88,6.64,6.81,297300,6.81
2014-12-31,6.69,6.92,6.69,6.73,342500,6.73
2014-12-30,6.84,6.92,6.69,6.69,7100,6.69
2014-12-29,6.94,7.20,6.92,6.97,462400,6.97
