Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,12.33,12.33,12.25,12.30,32800,12.30
2015-01-14,12.42,12.42,12.25,12.33,52800,12.33
2015-01-13,12.44,12.60,12.28,12.49,21500,12.49
2015-01-12,12.65,12.65,12.42,12.50,39600,12.50
2015-01-09,12.70,12.85,12.59,12.64,44600,12.64
2015-01-08,12.79,12.80,12.58,12.65,20400,12.65
2015-01-07,12.47,12.73,12.45,12.70,53800,12.70
2015-01-06,12.48,12.48,12.35,12.45,29400,12.45
2015-01-05,12.46,12.49,12.26,12.46,24500,12.46
2015-01-02,12.24,12.64,12.16,12.26,37800,12.26
2014-12-31,12.25,12.50,12.11,12.11,109500,12.11
2014-12-30,12.20,12.29,12.15,12.25,70500,12.25
2014-12-29,12.10,12.36,12.05,12.34,78200,12.34
