Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,0.48,0.50,0.47,0.47,100900,0.47
2015-01-14,0.51,0.51,0.48,0.48,205600,0.48
2015-01-13,0.53,0.55,0.51,0.52,113800,0.52
2015-01-12,0.58,0.62,0.53,0.56,108800,0.56
2015-01-09,0.56,0.57,0.54,0.55,101800,0.55
2015-01-08,0.55,0.60,0.54,0.57,340800,0.57
2015-01-07,0.51,0.55,0.51,0.54,171200,0.54
2015-01-06,0.52,0.56,0.52,0.53,388700,0.53
2015-01-05,0.51,0.53,0.51,0.51,43700,0.51
2015-01-02,0.52,0.52,0.51,0.51,28900,0.51
2014-12-31,0.50,0.54,0.48,0.50,128700,0.50
2014-12-30,0.55,0.55,0.50,0.50,3300,0.50
2014-12-29,0.57,0.57,0.51,0.51,234100,0.51
