Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,15.51,15.83,15.32,15.49,820000,15.49
2015-01-14,15.81,16.07,15.52,15.53,645900,15.53
2015-01-13,16.20,16.51,15.84,16.01,380000,16.01
2015-01-12,16.40,16.60,15.90,16.03,605000,16.03
2015-01-09,16.53,16.80,16.38,16.40,264800,16.40
2015-01-08,16.85,17.22,16.50,16.51,371400,16.51
2015-01-07,16.74,16.87,16.44,16.67,327700,16.67
2015-01-06,16.77,16.85,15.91,16.59,935900,16.59
2015-01-05,16.71,16.98,16.51,16.66,1248500,16.66
2015-01-02,17.12,17.20,16.67,16.72,485300,16.72
2014-12-31,17.75,17.75,16.78,16.94,789400,16.94
2014-12-30,17.75,17.92,17.70,17.74,415900,17.74
2014-12-29,18.22,18.25,17.86,17.90,262000,17.90
