Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,1.95,1.95,1.94,1.95,11100,1.95
2015-01-14,1.99,1.99,1.95,1.98,21200,1.98
2015-01-13,1.98,1.99,1.94,1.98,34200,1.98
2015-01-12,1.97,1.99,1.90,1.95,96500,1.95
2015-01-09,1.98,1.98,1.94,1.97,25300,1.97
2015-01-08,1.98,1.98,1.92,1.98,31100,1.98
2015-01-07,1.95,1.98,1.90,1.98,28300,1.98
2015-01-06,1.86,1.93,1.86,1.92,23300,1.92
2015-01-05,1.91,1.93,1.87,1.88,21000,1.88
2015-01-02,1.93,1.94,1.87,1.91,12300,1.91
2014-12-31,1.90,1.94,1.86,1.94,26200,1.94
2014-12-30,1.91,1.91,1.91,1.91,100,1.91
2014-12-29,1.93,1.93,1.88,1.91,12600,1.91
