Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,0.60,0.62,0.58,0.60,81100,0.60
2015-01-14,0.63,0.65,0.60,0.62,65800,0.62
2015-01-13,0.64,0.66,0.62,0.62,54300,0.62
2015-01-12,0.68,0.68,0.60,0.62,233700,0.62
2015-01-09,0.58,0.70,0.58,0.66,366300,0.66
2015-01-08,0.62,0.67,0.59,0.60,806900,0.60
2015-01-07,0.57,0.57,0.49,0.57,127700,0.57
2015-01-06,0.57,0.57,0.53,0.57,129400,0.57
2015-01-05,0.53,0.58,0.47,0.58,596800,0.58
2015-01-02,0.46,0.53,0.45,0.50,39500,0.50
2014-12-31,0.46,0.50,0.45,0.45,176000,0.45
2014-12-30,0.45,0.48,0.45,0.47,5300,0.47
2014-12-29,0.48,0.50,0.47,0.47,122100,0.47
