Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,57.66,57.86,57.17,57.21,2808500,57.21
2015-01-14,57.06,57.41,56.78,57.34,3271000,57.34
2015-01-13,58.00,58.37,57.17,57.61,7197800,57.61
2015-01-12,58.03,58.03,57.35,57.57,3101800,57.57
2015-01-09,58.40,58.40,57.69,57.90,3150200,57.90
2015-01-08,57.87,58.36,57.82,58.26,1926900,58.26
2015-01-07,57.08,57.44,56.94,57.36,2697900,57.36
2015-01-06,57.20,57.43,56.40,56.62,5221500,56.62
2015-01-05,58.03,58.03,57.10,57.21,2173500,57.21
2015-01-02,58.66,58.88,58.15,58.36,1423500,58.36
2014-12-31,59.19,59.25,58.32,58.50,5748200,58.50
2014-12-30,59.27,59.27,59.02,59.03,1773300,59.03
2014-12-29,59.41,59.56,59.29,59.42,1271200,59.42
