Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,42.59,42.59,42.24,42.31,837700,42.31
2015-01-14,41.97,42.15,41.74,42.09,579900,42.09
2015-01-13,42.47,42.67,41.91,42.22,998300,42.22
2015-01-12,42.22,42.28,41.89,42.08,822500,42.08
2015-01-09,42.46,42.49,42.07,42.25,1064700,42.25
2015-01-08,42.24,42.61,42.21,42.48,461400,42.48
2015-01-07,41.70,41.96,41.56,41.87,520000,41.87
2015-01-06,41.82,41.92,41.24,41.40,520800,41.40
2015-01-05,42.32,42.32,41.72,41.83,1054700,41.83
2015-01-02,43.17,43.17,42.70,42.76,2486800,42.76
2014-12-31,43.29,43.37,42.98,43.02,1047300,43.02
2014-12-30,43.38,43.38,43.22,43.23,1355800,43.23
2014-12-29,43.61,43.68,43.51,43.54,981200,43.54
