Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,19.24,19.49,18.40,18.44,515500,18.44
2015-01-14,19.12,19.50,18.71,19.33,453000,19.33
2015-01-13,19.83,20.53,19.21,19.51,586100,19.51
2015-01-12,19.65,19.95,19.49,19.72,321200,19.72
2015-01-09,19.79,20.00,19.57,19.68,506800,19.68
2015-01-08,19.59,20.08,19.12,19.79,481400,19.79
2015-01-07,19.20,19.49,19.04,19.34,325100,19.34
2015-01-06,19.48,19.67,18.71,19.08,426200,19.08
2015-01-05,19.44,19.63,19.09,19.42,748400,19.42
2015-01-02,20.34,20.49,19.18,19.60,557300,19.60
2014-12-31,20.63,20.68,20.24,20.27,334800,20.27
2014-12-30,20.86,20.86,20.53,20.53,31800,20.53
2014-12-29,20.66,20.82,20.49,20.81,385400,20.81
