Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,0.78,0.84,0.70,0.77,79700,0.77
2015-01-14,0.82,0.85,0.71,0.77,48000,0.77
2015-01-13,0.88,0.88,0.83,0.84,66400,0.84
2015-01-12,0.89,0.89,0.83,0.86,6200,0.86
2015-01-09,0.90,0.90,0.83,0.87,55600,0.87
2015-01-08,0.90,0.90,0.85,0.90,27000,0.90
2015-01-07,0.89,0.90,0.84,0.89,10400,0.89
2015-01-06,0.89,0.90,0.84,0.90,44100,0.90
2015-01-05,0.90,0.90,0.86,0.90,49100,0.90
2015-01-02,0.94,0.94,0.90,0.93,5500,0.93
2014-12-31,0.92,0.95,0.87,0.94,70300,0.94
2014-12-30,0.93,0.93,0.93,0.93,4000,0.93
2014-12-29,0.87,0.93,0.87,0.92,23100,0.92
