Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,71.71,71.75,70.16,70.29,2828700,70.29
2015-01-14,69.88,70.40,68.98,69.99,1873900,69.99
2015-01-13,71.95,72.96,69.95,70.59,2012300,70.59
2015-01-12,72.13,72.26,70.75,71.12,1318900,71.12
2015-01-09,72.89,73.13,71.63,71.84,1730300,71.84
2015-01-08,71.40,73.06,71.31,72.92,2591800,72.92
2015-01-07,70.77,71.29,70.42,71.11,2363900,71.11
2015-01-06,71.95,72.10,69.88,70.53,2873700,70.53
2015-01-05,72.21,72.43,71.57,71.98,2403300,71.98
2015-01-02,72.70,73.20,71.89,72.34,2349200,72.34
2014-12-31,73.40,74.21,72.65,72.70,1343900,72.70
2014-12-30,73.67,73.86,72.76,73.10,154100,73.10
2014-12-29,74.56,74.58,74.00,74.13,908400,74.13
