Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,19.87,20.04,19.26,19.53,102600,19.53
2015-01-14,19.80,19.99,19.52,19.79,65600,19.79
2015-01-13,20.91,20.91,19.65,20.07,203500,20.07
2015-01-12,21.27,21.27,20.50,20.70,67600,20.70
2015-01-09,21.42,21.61,21.15,21.34,56000,21.34
2015-01-08,21.11,22.03,20.92,21.44,156900,21.44
2015-01-07,20.63,20.91,20.25,20.91,86300,20.91
2015-01-06,21.64,21.64,20.39,20.53,102500,20.53
2015-01-05,21.73,21.92,21.21,21.40,95400,21.40
2015-01-02,22.96,22.96,21.69,21.86,71400,21.86
2014-12-31,23.19,23.56,22.73,22.79,301100,22.79
2014-12-30,22.38,23.42,22.33,23.06,38700,23.06
2014-12-29,21.52,22.24,21.52,22.13,129000,22.13
