Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,6.76,7.05,6.20,6.42,950000,6.42
2015-01-14,5.93,6.89,5.71,6.71,965500,6.71
2015-01-13,5.54,6.45,5.54,6.05,822900,6.05
2015-01-12,5.25,6.10,5.18,5.60,686700,5.60
2015-01-09,4.17,5.96,4.17,5.29,3018100,5.29
2015-01-08,4.06,4.38,4.04,4.25,196900,4.25
2015-01-07,3.96,4.07,3.88,4.00,135200,4.00
2015-01-06,3.99,4.20,3.83,3.97,123300,3.97
2015-01-05,3.81,4.16,3.70,3.95,152000,3.95
2015-01-02,3.78,3.94,3.68,3.81,42200,3.81
2014-12-31,3.75,3.84,3.66,3.73,135900,3.73
2014-12-30,3.88,3.88,3.75,3.75,5800,3.75
2014-12-29,3.89,4.07,3.71,3.77,163300,3.77
