Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,53.70,54.20,52.67,52.73,1990300,52.73
2015-01-14,53.42,54.46,52.93,53.51,2523800,53.51
2015-01-13,54.69,55.52,53.27,53.55,2330600,53.55
2015-01-12,54.62,54.75,53.86,54.17,1250500,54.17
2015-01-09,54.99,55.04,54.12,54.72,1720300,54.72
2015-01-08,54.39,55.18,54.08,54.76,1874900,54.76
2015-01-07,53.49,54.13,53.03,53.81,1723000,53.81
2015-01-06,54.73,54.80,53.21,53.25,1707500,53.25
2015-01-05,55.40,55.45,54.50,54.53,1445200,54.53
2015-01-02,55.68,56.25,54.97,55.54,1323200,55.54
2014-12-31,55.94,56.41,55.49,55.52,1746800,55.52
2014-12-30,55.84,56.09,55.32,55.56,1677700,55.56
2014-12-29,56.20,56.38,55.74,56.08,1777400,56.08
