Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,10.76,10.99,10.65,10.73,39200,10.73
2015-01-14,10.81,10.85,10.56,10.56,47600,10.56
2015-01-13,10.75,10.90,10.63,10.75,38900,10.75
2015-01-12,10.97,10.97,10.57,10.57,5300,10.57
2015-01-09,11.95,11.95,10.94,11.00,9700,11.00
2015-01-08,10.91,11.50,10.91,11.02,3100,11.02
2015-01-07,11.06,11.95,10.91,11.02,5600,11.02
2015-01-06,11.04,11.50,11.04,11.22,2800,11.22
2015-01-05,11.50,11.52,11.11,11.11,1600,11.11
2015-01-02,11.25,11.50,11.20,11.45,3300,11.45
2014-12-31,11.13,11.25,10.98,11.17,16000,11.17
2014-12-30,11.05,11.11,11.00,11.00,600,11.00
2014-12-29,11.64,11.64,10.91,11.00,7400,11.00
