Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,5.71,5.80,5.50,5.53,136200,5.53
2015-01-14,5.65,5.82,5.50,5.65,349300,5.65
2015-01-13,5.94,5.95,5.60,5.65,390000,5.65
2015-01-12,5.65,5.97,5.51,5.82,555400,5.82
2015-01-09,5.21,5.75,5.15,5.60,1680200,5.60
2015-01-08,6.66,7.00,6.57,6.99,173600,6.99
2015-01-07,6.21,6.54,6.14,6.44,101400,6.44
2015-01-06,6.31,6.33,6.12,6.21,43900,6.21
2015-01-05,6.04,6.45,6.00,6.22,54800,6.22
2015-01-02,6.15,6.23,5.87,6.14,74900,6.14
2014-12-31,6.13,6.17,5.85,6.17,82600,6.17
2014-12-30,6.09,6.26,5.93,6.04,10800,6.04
2014-12-29,5.25,6.00,5.25,5.99,235800,5.99
