Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,17.43,17.54,16.81,16.93,106200,16.93
2015-01-14,16.80,17.57,16.80,17.48,95100,17.48
2015-01-13,17.04,17.22,16.60,16.93,73300,16.93
2015-01-12,16.92,17.10,16.65,16.97,36200,16.97
2015-01-09,17.02,17.16,16.23,16.86,55400,16.86
2015-01-08,17.09,17.36,16.83,16.92,54100,16.92
2015-01-07,16.51,17.17,16.40,16.98,91700,16.98
2015-01-06,16.70,16.93,16.13,16.50,116300,16.50
2015-01-05,17.59,17.60,16.41,16.68,162300,16.68
2015-01-02,17.48,17.94,17.21,17.49,180400,17.49
2014-12-31,16.94,17.40,16.94,17.37,115200,17.37
2014-12-30,17.18,17.18,16.75,17.00,4600,17.00
2014-12-29,17.16,17.45,16.30,17.26,195400,17.26
