Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,4.32,4.32,4.03,4.05,45200,4.05
2015-01-14,4.42,4.50,4.22,4.25,52900,4.25
2015-01-13,4.58,4.65,4.36,4.44,59400,4.44
2015-01-12,4.54,4.67,4.46,4.53,56200,4.53
2015-01-09,4.52,4.57,4.33,4.52,41100,4.52
2015-01-08,4.42,4.53,4.31,4.52,99100,4.52
2015-01-07,4.42,4.52,4.36,4.38,62300,4.38
2015-01-06,4.56,4.56,4.17,4.40,148300,4.40
2015-01-05,4.49,4.63,4.40,4.58,111900,4.58
2015-01-02,4.45,4.54,4.27,4.48,70500,4.48
2014-12-31,4.40,4.60,4.37,4.40,136100,4.40
2014-12-30,4.29,4.53,4.29,4.41,3800,4.41
2014-12-29,4.25,4.34,4.23,4.28,57800,4.28
