Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,83.87,84.34,83.33,83.70,1434800,83.70
2015-01-14,83.08,83.99,82.97,83.74,1792200,83.74
2015-01-13,84.80,85.50,83.29,83.98,1919000,83.98
2015-01-12,84.72,85.04,83.81,84.15,1321800,84.15
2015-01-09,85.05,85.19,84.11,84.56,1751600,84.56
2015-01-08,83.96,85.18,83.64,85.17,3358700,85.17
2015-01-07,82.22,83.32,81.80,83.26,2079000,83.26
2015-01-06,83.30,83.74,81.96,82.54,2569700,82.54
2015-01-05,83.25,84.44,82.95,83.23,3270900,83.23
2015-01-02,82.98,84.18,82.52,83.29,1866600,83.29
2014-12-31,84.38,84.87,83.36,83.37,1798200,83.37
2014-12-30,84.74,84.91,84.01,84.11,1427700,84.11
2014-12-29,85.02,85.24,84.82,84.87,1242600,84.87
