Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,28.33,28.50,28.33,28.50,2700,28.50
2015-01-14,28.00,28.00,27.92,27.92,500,27.92
2015-01-13,28.34,28.48,28.26,28.26,2700,28.26
2015-01-12,28.06,28.09,28.06,28.09,300,28.09
2015-01-09,28.30,28.31,28.19,28.19,700,28.19
2015-01-08,28.44,28.44,28.34,28.36,1300,28.36
2015-01-07,28.10,28.11,28.10,28.10,2700,28.10
2015-01-06,27.70,27.81,27.46,27.61,2700,27.61
2015-01-05,28.17,28.17,27.84,27.95,1200,27.95
2015-01-02,28.35,28.57,28.17,28.40,11700,28.40
2014-12-31,28.48,28.48,28.48,28.48,300,28.48
2014-12-30,28.60,28.60,28.36,28.36,1500,28.36
2014-12-29,28.61,28.72,28.60,28.72,1700,28.72
