Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,22.10,22.10,21.87,21.97,35700,21.97
2015-01-14,21.75,21.79,21.62,21.79,2000,21.79
2015-01-13,22.00,22.06,21.79,21.79,8700,21.79
2015-01-12,21.80,21.83,21.76,21.76,27600,21.76
2015-01-09,21.90,21.90,21.81,21.84,5200,21.84
2015-01-08,21.88,22.06,21.88,22.00,22100,22.00
2015-01-07,21.61,21.69,21.55,21.68,3900,21.68
2015-01-06,21.76,21.76,21.38,21.50,6000,21.50
2015-01-05,22.00,22.00,21.61,21.70,46700,21.70
2015-01-02,22.63,22.63,22.30,22.30,12600,22.30
2014-12-31,22.76,22.76,22.41,22.41,12000,22.41
2014-12-30,22.56,22.60,22.53,22.54,18200,22.54
2014-12-29,22.92,22.92,22.75,22.79,26100,22.79
