Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,35.80,35.87,35.55,35.55,9800,35.55
2015-01-14,35.21,35.35,34.96,35.35,10800,35.35
2015-01-13,35.66,35.78,35.43,35.52,8500,35.52
2015-01-12,35.45,35.48,35.10,35.22,16300,35.22
2015-01-09,35.81,35.87,35.52,35.69,21300,35.69
2015-01-08,35.44,35.88,35.44,35.75,13000,35.75
2015-01-07,34.92,35.24,34.92,35.11,15900,35.11
2015-01-06,34.51,34.54,34.11,34.48,7300,34.48
2015-01-05,34.81,34.81,34.43,34.46,13100,34.46
2015-01-02,35.47,35.47,35.06,35.16,15100,35.16
2014-12-31,35.62,35.71,35.50,35.52,41600,35.52
2014-12-30,35.73,35.73,35.47,35.54,27500,35.54
2014-12-29,35.78,35.94,35.75,35.75,22800,35.75
