Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,21.83,21.87,21.71,21.87,6400,21.87
2015-01-14,21.67,21.67,21.57,21.57,700,21.57
2015-01-13,21.70,21.89,21.67,21.67,2200,21.67
2015-01-12,21.68,21.70,21.50,21.68,4600,21.68
2015-01-09,21.72,21.73,21.55,21.72,15400,21.72
2015-01-08,21.89,21.94,21.82,21.82,3000,21.82
2015-01-07,21.41,21.52,21.41,21.52,1500,21.52
2015-01-06,21.61,21.61,21.25,21.37,6900,21.37
2015-01-05,21.86,21.86,21.58,21.58,4600,21.58
2015-01-02,22.53,22.53,22.21,22.27,6700,22.27
2014-12-31,22.50,22.50,22.33,22.33,8000,22.33
2014-12-30,22.63,22.63,22.47,22.47,3500,22.47
2014-12-29,22.61,22.77,22.61,22.69,8500,22.69
