Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,56.38,56.62,55.57,55.71,1129500,55.71
2015-01-14,56.59,57.12,55.90,56.41,1265000,56.41
2015-01-13,57.68,58.99,56.86,57.34,1588300,57.34
2015-01-12,58.34,58.55,57.14,57.29,1487000,57.29
2015-01-09,58.78,59.17,57.60,58.27,1339300,58.27
2015-01-08,57.87,59.13,57.74,58.80,1276400,58.80
2015-01-07,57.78,58.52,57.10,57.38,1177100,57.38
2015-01-06,58.89,59.22,57.31,57.50,1925600,57.50
2015-01-05,59.15,59.44,58.46,58.66,2108300,58.66
2015-01-02,60.06,60.49,58.95,59.53,889700,59.53
2014-12-31,60.83,61.23,60.01,60.06,1873200,60.06
2014-12-30,60.24,60.91,60.20,60.51,149900,60.51
2014-12-29,60.83,60.98,60.32,60.76,648100,60.76
