Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,22.63,22.69,21.86,22.26,786800,22.26
2015-01-14,22.11,22.61,21.71,22.56,970900,22.56
2015-01-13,21.29,22.25,20.97,22.22,1257600,22.22
2015-01-12,21.28,21.35,20.80,21.14,739700,21.14
2015-01-09,21.50,21.67,21.21,21.28,460500,21.28
2015-01-08,21.71,22.11,21.26,21.44,926700,21.44
2015-01-07,21.59,21.72,21.03,21.52,617900,21.52
2015-01-06,21.91,21.92,21.17,21.42,487800,21.42
2015-01-05,21.63,21.96,21.47,21.74,358600,21.74
2015-01-02,21.91,21.96,21.29,21.78,323400,21.78
2014-12-31,22.23,22.23,21.76,21.80,401500,21.80
2014-12-30,22.08,22.28,21.82,22.15,262400,22.15
2014-12-29,22.16,22.43,22.07,22.12,192600,22.12
