Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,22.16,22.36,22.01,22.04,20800,22.04
2015-01-14,22.06,22.61,21.98,22.34,59600,22.34
2015-01-13,22.75,23.04,21.94,22.36,28900,22.36
2015-01-12,23.03,23.05,22.31,22.78,36300,22.78
2015-01-09,23.39,23.42,22.84,22.95,31100,22.95
2015-01-08,24.03,24.12,23.25,23.45,65500,23.45
2015-01-07,24.02,24.42,22.96,24.01,257900,24.01
2015-01-06,24.31,24.31,23.66,24.04,77400,24.04
2015-01-05,23.99,24.68,23.99,24.19,52900,24.19
2015-01-02,24.29,24.29,23.31,24.02,39600,24.02
2014-12-31,24.20,24.29,23.80,24.27,29400,24.27
2014-12-30,24.24,24.24,24.20,24.20,100,24.20
2014-12-29,24.14,24.24,24.00,24.13,26700,24.13
