Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,35.28,36.27,34.96,35.70,1362000,35.70
2015-01-14,32.00,35.64,32.00,35.32,1695500,35.32
2015-01-13,31.87,32.93,31.49,32.42,592600,32.42
2015-01-12,30.87,31.83,30.54,31.70,561700,31.70
2015-01-09,31.02,31.19,30.24,30.79,397200,30.79
2015-01-08,31.10,31.57,30.85,30.95,643400,30.95
2015-01-07,29.51,30.78,29.25,30.73,656700,30.73
2015-01-06,29.77,29.97,28.93,29.27,549500,29.27
2015-01-05,29.90,30.12,29.32,29.71,271100,29.71
2015-01-02,30.75,31.09,29.82,30.15,316300,30.15
2014-12-31,30.75,31.30,30.63,30.64,357000,30.64
2014-12-30,31.11,31.39,30.68,30.81,243200,30.81
2014-12-29,31.42,31.64,31.13,31.14,211200,31.14
