Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,12.32,12.55,11.71,12.33,1449000,12.33
2015-01-14,11.62,12.42,11.10,12.20,1203100,12.20
2015-01-13,12.01,12.88,11.28,11.73,2646100,11.73
2015-01-12,11.21,13.17,10.71,12.09,1939500,12.09
2015-01-09,10.38,11.75,9.69,11.30,1636100,11.30
2015-01-08,9.31,10.60,9.22,10.41,1855700,10.41
2015-01-07,8.37,9.45,8.22,9.12,1338700,9.12
2015-01-06,8.60,8.74,7.76,7.99,757700,7.99
2015-01-05,8.43,9.10,8.20,8.67,869600,8.67
2015-01-02,7.87,8.62,7.87,8.42,895500,8.42
2014-12-31,8.65,8.70,7.92,8.01,1162000,8.01
2014-12-30,8.47,8.82,8.29,8.66,40300,8.66
2014-12-29,8.35,9.75,8.20,9.00,3371800,9.00
