Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,15.89,16.11,15.53,15.81,409700,15.81
2015-01-14,15.74,16.09,15.53,15.88,303400,15.88
2015-01-13,16.44,16.78,15.85,16.06,375100,16.06
2015-01-12,16.58,16.69,16.16,16.33,377400,16.33
2015-01-09,16.84,17.01,16.61,16.63,165000,16.63
2015-01-08,17.00,17.12,16.82,16.95,266000,16.95
2015-01-07,17.12,17.21,16.73,16.87,246900,16.87
2015-01-06,17.65,17.70,16.81,16.97,258700,16.97
2015-01-05,18.28,18.41,17.52,17.57,179700,17.57
2015-01-02,18.66,18.75,18.06,18.38,179200,18.38
2014-12-31,18.79,19.00,18.56,18.61,216600,18.61
2014-12-30,18.63,18.84,18.39,18.78,18800,18.78
2014-12-29,18.54,18.73,18.44,18.49,375100,18.49
